Date,HE,Load2,Load3,Load4,Load5,Price2,Price3,Price4,Price5
8/31/2040,1,171.5109222,179.4569554,35.19853168,0.92887344,116.93256,118.97675,121.02094,115.79821
8/31/2040,2,166.6615603,173.6090617,35.0303564,0.87328888,105.56723,106.82196,108.67215,104.05731
8/31/2040,3,166.8631432,168.8519616,33.77920624,0.84386176,105.77841,106.44,108.14506,103.17422
8/31/2040,4,167.5274569,168.2989592,32.14408192,0.83774888,101.5313,101.85271,103.343,99.13791
8/31/2040,5,168.2726596,172.9792929,33.28974936,0.87314672,102.00335,102.06857,103.61817,99.306
8/31/2040,6,177.2783534,181.3692918,35.45939528,0.90456408,110.00505,110.74835,112.22265,107.88901
8/31/2040,7,184.2996358,192.0457921,37.4122472,0.97535976,144.82762,147.66208,150.07741,144.15445
8/31/2040,8,188.3138078,214.1110143,41.9272488,1.05894984,109.68961,108.52131,110.33382,104.39403
8/31/2040,9,183.5652373,226.433301,42.61061192,1.15831968,90.36649,89.96,92.12793,85.31702
8/31/2040,10,175.687583,241.7197658,41.81721696,1.31469568,89.83286,90.24425,92.61545,84.75606
8/31/2040,11,172.4875614,261.4798636,41.869674,1.4813072,92.68714,93.59836,96.15499,87.66331
8/31/2040,12,177.1546742,281.417235,44.52536496,1.6433696,100.78471,102.54743,105.81874,95.48398
8/31/2040,13,187.1215118,303.3142819,47.58777568,1.79249544,119.21276,122.76,130.53645,114.48925
8/31/2040,14,202.1664468,325.0653306,50.665824,1.88617888,133.48773,147.48425,157.73676,136.45518
8/31/2040,15,216.9533614,337.8000234,54.01525576,1.95000872,133.26189,167.7233,174.74225,154.46362
8/31/2040,16,231.8660875,340.1305944,56.56944448,1.99038216,148.66951,184.4841,188.17184,171.22472
8/31/2040,17,244.7224693,336.2125226,59.33729968,1.98654384,157.1992,196.03696,194.45792,182.516
8/31/2040,18,250.0750776,322.4629496,58.26669272,1.92143456,189.13812,269.74472,268.14682,252.23143
8/31/2040,19,245.3159873,310.3433831,57.06956336,1.80244664,308.54,450.2,449.20844,427.53015
8/31/2040,20,239.4052588,297.3094435,55.06013176,1.63043304,306.22003,423.9124,421.36255,406.6765
8/31/2040,21,224.2703366,279.9871054,52.26157,1.4521644,208.39673,262.84766,263.00262,252.59831
8/31/2040,22,206.9207037,256.4980086,47.63170312,1.27688112,171.0153,180,182.59932,174.34247
8/31/2040,23,194.8690897,231.7138342,42.8662156,1.16343744,130.42593,134.78235,138.35275,128.82726
8/31/2040,24,182.9813862,217.5224278,40.57587584,1.17879072,118.23005,122.89575,126.43441,118.39971
